Species,Trait Type,p,h2,Q,m,means,mean increase,sd,Dunnett_Pvalue_adj
Maize,Two,2,0.9,0.3,1,0.292529231,-0.142235203,0.006224656,0
Maize,Two,2,0.9,0.3,2,0.295234317,-0.139530116,0,0
Maize,Two,2,0.9,0.3,3,0.355193664,-0.079570769,0,0
Maize,Two,2,0.9,0.3,5,0.36729688,-0.067467554,0.008939454,0
Maize,Two,2,0.9,0.3,10,0.366931663,-0.067832771,0.012333729,0
Maize,Two,2,0.9,0.3,25,0.39235897,-0.042405463,0.018041013,0
Maize,Two,3,0.9,0.3,0,0.483499917,0,0,0
Maize,Two,3,0.9,0.3,1,0.468528208,-0.014971709,0.016895867,6.22E-07
Maize,Two,3,0.9,0.3,2,0.450872529,-0.032627388,0.018515907,0
Maize,Two,3,0.9,0.3,3,0.445198105,-0.038301812,0.017142007,0
Maize,Two,3,0.9,0.3,5,0.446617273,-0.036882644,0.012617135,0
Maize,Two,3,0.9,0.3,10,0.463172941,-0.020326976,0.013544185,7.63E-12
Maize,Two,3,0.9,0.3,25,0.473810088,-0.009689828,0.008149558,0.002792522
Maize,Two,5,0.9,0.3,0,0.504450664,0,0,0
Maize,Two,5,0.9,0.3,1,0.369296016,-0.135154647,0.011768595,0
Maize,Two,5,0.9,0.3,2,0.384728997,-0.119721666,0.013653284,0
Maize,Two,5,0.9,0.3,3,0.387253894,-0.117196769,0.016408921,0
Maize,Two,5,0.9,0.3,5,0.408156586,-0.096294078,0.003905191,0
Maize,Two,5,0.9,0.3,10,0.464957782,-0.039492881,0.013965199,0
Maize,Two,5,0.9,0.3,25,0.491313388,-0.013137276,0.010240288,4.23E-08
Maize,Two,5,0.9,0.3,50,0.494538444,-0.00991222,0.008808933,6.90E-05
Maize,Two,10,0.9,0.3,0,0.534254254,0,0,0
Maize,Two,10,0.9,0.3,1,0.516477279,-0.017776975,0.009303434,0
